,geo.place.country,geo.place.full_name,geo.place.geo.bbox,geo.coordinates.coordinates,author.location,entities.annotations,Inferred Cords
34,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,undefined,undefined,"(29.0052228, 41.0213205)"
35,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,"İstanbul, Türkiye",undefined,"(29.0052228, 41.0213205)"
36,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,"Cihangir, İstanbul",undefined,"(29.0052228, 41.0213205)"
37,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,undefined,undefined,"(29.0052228, 41.0213205)"
38,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,undefined,undefined,"(29.0052228, 41.0213205)"
39,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,"İstanbul, Türkiye",undefined,"(29.0052228, 41.0213205)"
40,Turkey,"İzmir, Türkiye","[26.7231666,38.2832034,27.2898551,38.5326576]",undefined,"Izmir, Turkey","[{""start"":35,""end"":45,""probability"":0.8141,""type"":""Place"",""normalized_text"":""Green House""},{""start"":61,""end"":65,""probability"":0.3418,""type"":""Place"",""normalized_text"":""Izmir""},{""start"":109,""end"":115,""probability"":0.9562,""type"":""Place"",""normalized_text"":""England""},{""start"":118,""end"":119,""probability"":0.9288,""type"":""Place"",""normalized_text"":""UK""},{""start"":122,""end"":128,""probability"":0.7728,""type"":""Place"",""normalized_text"":""Phokaia""},{""start"":150,""end"":155,""probability"":0.9431,""type"":""Place"",""normalized_text"":""Turkey""}]","(27.006510849999998, 38.4079305)"
41,Turkey,"İzmir, Türkiye","[26.7231666,38.2832034,27.2898551,38.5326576]",undefined,"Izmir, Turkey",undefined,"(27.006510849999998, 38.4079305)"
42,Turkey,"İzmir, Türkiye","[26.7231666,38.2832034,27.2898551,38.5326576]",undefined,"Izmir, Turkey",undefined,"(27.006510849999998, 38.4079305)"
43,Turkey,"İzmir, Türkiye","[26.7231666,38.2832034,27.2898551,38.5326576]",undefined,"İzmir, Türkiye",undefined,"(27.006510849999998, 38.4079305)"
44,Turkey,"Kırıkhan, Hatay","[36.254241,36.377642,36.590693,36.678102]",undefined,Hatay,undefined,"(36.422467, 36.527872)"
45,Turkey,"Konyaaltı, Antalya","[30.3107245,36.6756895,30.6654189,36.9474382]",undefined,undefined,undefined,"(30.4880717, 36.81156385)"
46,Turkey,Mado,"[27.26234521530691,37.86407125316241,27.26234521530691,37.86407125316241]",undefined,"Bodrum, Türkiye ",undefined,"(27.26234521530691, 37.86407125316241)"
47,United States,"Manhattan, NY","[-74.026675,40.683935,-73.910408,40.877483]",undefined,"New York, USA",undefined,"(-73.9685415, 40.780709)"
48,Turkey,"Reyhanlı, Hatay","[36.3523253,36.1969315,36.6978882,36.3634293]",undefined,Amik ovası,undefined,"(36.52510675, 36.2801804)"
49,Turkey,"Reyhanlı, Hatay","[36.3523253,36.1969315,36.6978882,36.3634293]",undefined,Amik ovası,undefined,"(36.52510675, 36.2801804)"
50,Turkey,"Samandağ, Hatay","[35.8209396,36.0135677,36.106144,36.314465]","[35.92,36.27]","based in Paris, works globally",undefined,"[35.92,36.27]"
51,Turkey,"Samandağ, Hatay","[35.8209396,36.0135677,36.106144,36.314465]","[35.92,36.27]","based in Paris, works globally","[{""start"":2,""end"":11,""probability"":0.4263,""type"":""Place"",""normalized_text"":""Earthquake""},{""start"":49,""end"":55,""probability"":0.9405,""type"":""Place"",""normalized_text"":""Antioch""},{""start"":59,""end"":64,""probability"":0.9391,""type"":""Place"",""normalized_text"":""Turkey""}]","[35.92,36.27]"
52,Turkey,"Samandağ, Hatay","[35.8209396,36.0135677,36.106144,36.314465]","[35.92,36.11]","based in Paris, works globally",undefined,"[35.92,36.11]"
53,United States,"San Francisco, CA","[-122.514926,37.708075,-122.357031,37.833238]",undefined,"San Francisco, CA","[{""start"":141,""end"":151,""probability"":0.9884,""type"":""Place"",""normalized_text"":""Afghanistan""},{""start"":158,""end"":162,""probability"":0.9849,""type"":""Place"",""normalized_text"":""Syria""},{""start"":169,""end"":173,""probability"":0.9853,""type"":""Place"",""normalized_text"":""Yemen""}]","(-122.4359785, 37.7706565)"
54,Syria,Syria,"[35.5868988,32.3094341,42.3753815,37.3186098]",undefined,Ireland,"[{""start"":36,""end"":49,""probability"":0.6311,""type"":""Place"",""normalized_text"":""Russian Empire""},{""start"":91,""end"":97,""probability"":0.9643,""type"":""Place"",""normalized_text"":""Ukraine""},{""start"":188,""end"":193,""probability"":0.5297,""type"":""Person"",""normalized_text"":""Putins""},{""start"":204,""end"":210,""probability"":0.9632,""type"":""Place"",""normalized_text"":""Ukraine""},{""start"":213,""end"":217,""probability"":0.9589,""type"":""Place"",""normalized_text"":""Syria""},{""start"":227,""end"":233,""probability"":0.9738,""type"":""Place"",""normalized_text"":""Ireland""},{""start"":250,""end"":252,""probability"":0.9671,""type"":""Place"",""normalized_text"":""USA""},{""start"":255,""end"":277,""probability"":0.8471,""type"":""Place"",""normalized_text"":""RussiaIsATerroristState""}]","(38.98114015, 34.81402195)"
55,Turkey,"Tarsus, Türkiye","[34.849429,36.891172,34.9456109,36.948703]",undefined,"Tarsus, Türkiye",undefined,"(34.89751995, 36.9199375)"
56,Turkey,"Tarsus, Türkiye","[34.849429,36.891172,34.9456109,36.948703]",undefined,Mersin Tarsus,undefined,"(34.89751995, 36.9199375)"
57,Turkey,Tepekule Kongre ve Sergi Merkezi,"[27.17044768132134,38.453427839928196,27.17044768132134,38.453427839928196]",undefined,undefined,undefined,"(27.17044768132134, 38.453427839928196)"
58,Turkey,"Tuzla, İstanbul","[29.2546268,40.8027337,29.4564572,40.980709]",undefined,undefined,undefined,"(29.355542, 40.89172135)"
