Index,created_at,_id,author.location,geo.place.country,in_reply_to_user.location,country,latitude,longitude
55,2023-02-24T08:01:06.000Z,1.63E+18,İnternet,undefined,undefined,İnternet,5.56576695,-73.1852365
56,2023-02-24T08:01:03.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
57,2023-02-24T08:01:00.000Z,1.63E+18,bursa,undefined,undefined,NA,-23.2335499,17.3231107
58,2023-02-24T08:01:00.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
59,2023-02-24T08:00:58.000Z,1.63E+18,Türkiye,undefined,undefined,Turkey,38.9597594,34.9249653
60,2023-02-24T08:00:57.000Z,1.63E+18,Syria- Damascus,undefined,undefined,NA,-23.2335499,17.3231107
61,2023-02-24T08:00:49.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
62,2023-02-24T08:00:49.000Z,1.63E+18,دولة قطر,undefined,undefined,دولة,34.1448962,72.2188655
63,2023-02-24T08:00:49.000Z,1.63E+18,undefined,Turkey,undefined,NA,-23.2335499,17.3231107
64,2023-02-24T08:00:48.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
65,2023-02-24T08:00:44.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
66,2023-02-24T08:00:44.000Z,1.63E+18,"Washington, DC",undefined,undefined,United States of America,39.7837304,-100.445882
67,2023-02-24T08:00:42.000Z,1.63E+18,Antakya,undefined,undefined,Turkey,38.9597594,34.9249653
68,2023-02-24T08:00:41.000Z,1.63E+18,"İstanbul, Türkiye",undefined,undefined,İstanbul,41.0091982,28.9662187
69,2023-02-24T08:00:41.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
70,2023-02-24T08:00:40.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
71,2023-02-24T08:00:40.000Z,1.63E+18,Belgium,undefined,undefined,Belgium,50.6402809,4.6667145
72,2023-02-24T08:00:35.000Z,1.63E+18,Afghanistan,undefined,undefined,Afghanistan,33.7680065,66.2385139
73,2023-02-24T08:00:34.000Z,1.63E+18,undefined,undefined,"Ankara,Türkiye",NA,-23.2335499,17.3231107
74,2023-02-24T08:00:32.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
75,2023-02-24T08:00:32.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
76,2023-02-24T08:00:31.000Z,1.63E+18,"Hatay Merkez, Hatay",undefined,undefined,NA,-23.2335499,17.3231107
77,2023-02-24T08:00:29.000Z,1.63E+18,undefined,undefined,undefined,NA,-23.2335499,17.3231107
