,geo.place.country,geo.place.full_name,geo.place.geo.bbox,geo.coordinates.coordinates,in_reply_to_user.location,author.location,cords,temp
29,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,undefined,Turkey,"(29.0052228, 41.0213205)",[28.6321043 40.8027337 29.3783413 41.2399073]
30,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,undefined,"İstanbul, Türkiye","(29.0052228, 41.0213205)",[28.6321043 40.8027337 29.3783413 41.2399073]
31,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,undefined,undefined,"(29.0052228, 41.0213205)",[28.6321043 40.8027337 29.3783413 41.2399073]
32,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,undefined,undefined,"(29.0052228, 41.0213205)",[28.6321043 40.8027337 29.3783413 41.2399073]
33,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,undefined,"İstanbul, Türkiye","(29.0052228, 41.0213205)",[28.6321043 40.8027337 29.3783413 41.2399073]
34,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,undefined,undefined,"(29.0052228, 41.0213205)",[28.6321043 40.8027337 29.3783413 41.2399073]
35,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,undefined,"İstanbul, Türkiye","(29.0052228, 41.0213205)",[28.6321043 40.8027337 29.3783413 41.2399073]
36,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,undefined,"Cihangir, İstanbul","(29.0052228, 41.0213205)",[28.6321043 40.8027337 29.3783413 41.2399073]
37,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,undefined,undefined,"(29.0052228, 41.0213205)",[28.6321043 40.8027337 29.3783413 41.2399073]
38,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,undefined,undefined,"(29.0052228, 41.0213205)",[28.6321043 40.8027337 29.3783413 41.2399073]
39,Turkey,"İstanbul, Türkiye","[28.6321043,40.8027337,29.3783413,41.2399073]",undefined,undefined,"İstanbul, Türkiye","(29.0052228, 41.0213205)",[28.6321043 40.8027337 29.3783413 41.2399073]
40,Turkey,"İzmir, Türkiye","[26.7231666,38.2832034,27.2898551,38.5326576]",undefined,undefined,"Izmir, Turkey","(27.006510849999998, 38.4079305)",[26.7231666 38.2832034 27.2898551 38.5326576]
41,Turkey,"İzmir, Türkiye","[26.7231666,38.2832034,27.2898551,38.5326576]",undefined,undefined,"Izmir, Turkey","(27.006510849999998, 38.4079305)",[26.7231666 38.2832034 27.2898551 38.5326576]
42,Turkey,"İzmir, Türkiye","[26.7231666,38.2832034,27.2898551,38.5326576]",undefined,İstanbul,"Izmir, Turkey","(27.006510849999998, 38.4079305)",[26.7231666 38.2832034 27.2898551 38.5326576]
43,Turkey,"İzmir, Türkiye","[26.7231666,38.2832034,27.2898551,38.5326576]",undefined,undefined,"İzmir, Türkiye","(27.006510849999998, 38.4079305)",[26.7231666 38.2832034 27.2898551 38.5326576]
44,Turkey,"Kırıkhan, Hatay","[36.254241,36.377642,36.590693,36.678102]",undefined,undefined,Hatay,"(36.422467, 36.527872)",[36.254241 36.377642 36.590693 36.678102]
45,Turkey,"Konyaaltı, Antalya","[30.3107245,36.6756895,30.6654189,36.9474382]",undefined,undefined,undefined,"(30.4880717, 36.81156385)",[30.3107245 36.6756895 30.6654189 36.9474382]
46,Turkey,Mado,"[27.26234521530691,37.86407125316241,27.26234521530691,37.86407125316241]",undefined,undefined,"Bodrum, Türkiye ","(27.26234521530691, 37.86407125316241)",[27.26234522 37.86407125 27.26234522 37.86407125]
47,United States,"Manhattan, NY","[-74.026675,40.683935,-73.910408,40.877483]",undefined,undefined,"New York, USA","(-73.9685415, 40.780709)",[-74.026675  40.683935 -73.910408  40.877483]
48,Turkey,"Reyhanlı, Hatay","[36.3523253,36.1969315,36.6978882,36.3634293]",undefined,undefined,Amik ovası,"(36.52510675, 36.2801804)",[36.3523253 36.1969315 36.6978882 36.3634293]
49,Turkey,"Reyhanlı, Hatay","[36.3523253,36.1969315,36.6978882,36.3634293]",undefined,"Hatay, Türkiye",Amik ovası,"(36.52510675, 36.2801804)",[36.3523253 36.1969315 36.6978882 36.3634293]
50,Turkey,"Samandağ, Hatay","[35.8209396,36.0135677,36.106144,36.314465]","[35.92,36.27]","based in Paris, works globally","based in Paris, works globally","[35.92,36.27]",[35.8209396 36.0135677 36.106144  36.314465 ]
51,Turkey,"Samandağ, Hatay","[35.8209396,36.0135677,36.106144,36.314465]","[35.92,36.27]",undefined,"based in Paris, works globally","[35.92,36.27]",[35.8209396 36.0135677 36.106144  36.314465 ]
52,Turkey,"Samandağ, Hatay","[35.8209396,36.0135677,36.106144,36.314465]","[35.92,36.11]","based in Paris, works globally","based in Paris, works globally","[35.92,36.11]",[35.8209396 36.0135677 36.106144  36.314465 ]
53,United States,"San Francisco, CA","[-122.514926,37.708075,-122.357031,37.833238]",undefined,San Diego,"San Francisco, CA","(-122.4359785, 37.7706565)",[-122.514926   37.708075 -122.357031   37.833238]
54,Syria,Syria,"[35.5868988,32.3094341,42.3753815,37.3186098]",undefined,undefined,Ireland,"(38.98114015, 34.81402195)",[35.5868988 32.3094341 42.3753815 37.3186098]
55,Turkey,"Tarsus, Türkiye","[34.849429,36.891172,34.9456109,36.948703]",undefined,undefined,"Tarsus, Türkiye","(34.89751995, 36.9199375)",[34.849429  36.891172  34.9456109 36.948703 ]
56,Turkey,"Tarsus, Türkiye","[34.849429,36.891172,34.9456109,36.948703]",undefined,undefined,Mersin Tarsus,"(34.89751995, 36.9199375)",[34.849429  36.891172  34.9456109 36.948703 ]
57,Turkey,Tepekule Kongre ve Sergi Merkezi,"[27.17044768132134,38.453427839928196,27.17044768132134,38.453427839928196]",undefined,undefined,undefined,"(27.17044768132134, 38.453427839928196)",[27.17044768 38.45342784 27.17044768 38.45342784]
58,Turkey,"Tuzla, İstanbul","[29.2546268,40.8027337,29.4564572,40.980709]",undefined,Noorwegen,undefined,"(29.355542, 40.89172135)",[29.2546268 40.8027337 29.4564572 40.980709 ]
